angolo,distanza,x,y
286.13,36.81,10.23,-35.36
287.06,36.82,10.81,-35.20
288.00,36.81,11.37,-35.00
288.94,36.81,11.94,-34.81
289.87,42.87,14.57,-40.32
290.81,44.25,15.72,-41.37
291.74,43.47,16.10,-40.38
292.68,43.06,16.60,-39.73
293.61,45.25,18.12,-41.47
294.55,43.28,17.98,-39.37
295.48,42.47,18.27,-38.34
296.42,61.56,27.39,-55.13
297.35,61.98,28.48,-55.05
298.29,62.39,29.56,-54.94
299.22,61.42,29.98,-53.60
300.16,61.98,31.14,-53.59
301.09,61.98,32.01,-53.08
302.03,61.98,32.87,-52.55
302.96,62.00,33.73,-52.02
303.90,62.31,34.75,-51.72
304.83,61.13,34.92,-50.18
305.77,61.15,35.74,-49.62
306.70,61.28,36.63,-49.14
307.64,61.28,37.42,-48.53
308.57,61.69,38.46,-48.23
309.51,61.69,39.25,-47.60
310.44,60.74,39.40,-46.23
311.38,60.72,40.14,-45.57
312.31,60.32,40.60,-44.60
313.25,60.45,41.42,-44.03
314.18,60.47,42.14,-43.36
315.12,61.42,43.52,-43.34
316.05,60.59,43.62,-42.05
316.99,61.15,44.71,-41.71
317.92,60.86,45.17,-40.78
318.86,61.27,46.14,-40.31
319.79,62.12,47.44,-40.10
320.73,99.89,77.33,-63.23
321.66,119.05,93.38,-73.85
322.60,119.48,94.91,-72.57
323.53,119.49,96.10,-71.02
324.47,119.46,97.21,-69.43
325.40,119.39,98.28,-67.79
326.34,118.15,98.34,-65.49
327.27,117.71,99.02,-63.64
328.21,117.62,99.98,-61.97
329.14,117.62,100.97,-60.33
330.08,117.54,101.87,-58.63
331.01,117.54,102.81,-56.96
331.95,117.10,103.34,-55.07
332.88,117.10,104.22,-53.37
333.82,117.11,105.10,-51.67
334.75,117.45,106.23,-50.10
335.69,117.35,106.94,-48.31
336.62,116.99,107.39,-46.42
337.56,117.01,108.15,-44.67
338.49,117.01,108.86,-42.90
339.43,117.01,109.55,-41.11
340.36,117.01,110.21,-39.32
341.30,116.99,110.82,-37.51
342.23,117.44,111.84,-35.83
343.17,116.99,111.98,-33.88
344.10,117.45,112.96,-32.17
345.04,117.45,113.47,-30.32
345.97,117.01,113.52,-28.36
346.91,117.44,114.38,-26.60
347.84,117.44,114.80,-24.73
348.78,117.01,114.77,-22.77
349.71,117.44,115.55,-20.97
350.65,117.44,115.88,-19.08
351.58,117.45,116.19,-17.19
352.52,117.01,116.02,-15.23
353.45,117.44,116.67,-13.39
354.39,117.45,116.89,-11.48
355.32,118.40,118.01,-9.65
356.26,118.42,118.17,-7.73
357.19,118.42,118.28,-5.80
358.13,118.42,118.36,-3.86
359.06,118.42,118.41,-1.93
360.00,118.40,118.40,-0.00
