angolo,distanza,x,y
322.60,55.59,44.16,-33.77
323.53,55.73,44.81,-33.12
324.47,55.73,45.35,-32.39
325.40,55.85,45.97,-31.71
326.34,55.86,46.49,-30.96
327.27,55.57,46.75,-30.05
328.21,55.73,47.37,-29.36
329.14,57.53,49.38,-29.51
330.08,57.10,49.49,-28.48
331.01,57.53,50.32,-27.88
331.95,56.27,49.66,-26.46
332.88,57.09,50.81,-26.02
333.82,57.53,51.63,-25.38
334.75,59.19,53.54,-25.25
335.69,70.72,64.45,-29.12
336.62,70.74,64.93,-28.07
337.56,71.20,65.80,-27.18
338.49,71.60,66.62,-26.25
339.43,72.86,68.22,-25.60
340.36,72.86,68.62,-24.49
341.30,74.61,70.67,-23.92
342.23,75.53,71.93,-23.05
343.17,75.17,71.95,-21.77
344.10,82.01,78.87,-22.46
345.04,104.60,101.06,-27.00
345.97,104.52,101.40,-25.33
346.91,24.16,23.53,-5.47
347.84,27.88,27.25,-5.87
348.78,26.18,25.68,-5.09
349.71,22.73,22.36,-4.06
350.65,23.00,22.70,-3.74
351.58,22.44,22.20,-3.28
352.52,23.31,23.11,-3.03
353.45,21.84,21.70,-2.49
354.39,22.15,22.04,-2.17
355.32,21.22,21.15,-1.73
356.26,22.44,22.39,-1.46
357.19,22.42,22.40,-1.10
358.13,22.44,22.43,-0.73
359.06,21.52,21.52,-0.35
360.00,21.52,21.52,-0.00
